# Derived from data found at http://jupos.privat.t-online.de/
3.9 # Pre-table estimated GRS drift rate, degrees/year
13.0 # Post-table estimated GRS drift rate, degrees/year
366.0 # Max +/- span for LaGrange interpolation of this table, in days
1969-04-01,21.8
1969-07-01,22.7
1969-10-01,22.5
1970-01-01,21.2
1970-04-01,21.0
1970-07-01,20.7
1970-10-01,17.8
1971-01-01,11.8
1971-04-01,9.8
1971-07-01,9.5
1971-10-01,9.3
1972-01-01,8.5
1972-04-01,4.5
1972-07-01,1.3
1972-10-01,1.2
1973-01-01,3.0
1973-04-01,5.8
1973-07-01,6.9
1973-10-01,7.9
1974-01-01,11.6
1974-04-01,17.4
1974-07-01,20.2
1974-10-01,22.0
1975-01-01,25.4
1975-04-01,32.9
1975-07-01,38.8
1975-10-01,41.2
1976-01-01,43.1
1976-04-01,45.0
1976-07-01,46.5
1976-10-01,46.6
1977-01-01,47.3
1977-04-01,49.1
1977-07-01,51.2
1977-10-01,52.6
1978-01-01,53.7
1978-04-01,54.8
1978-07-01,56.2
1978-10-01,57.5
1979-01-01,58.3
1979-04-01,58.9
1979-07-01,59.2
1979-10-01,58.4
1980-01-01,57.5
1980-04-01,57.5
1980-07-01,57.4
1980-10-01,56.1
1981-01-01,54.3
1981-04-01,54.1
1981-07-01,54.3
1981-10-01,53.5
1982-01-01,52.4
1982-04-01,52.1
1982-07-01,52.0
1982-10-01,50.8
1983-01-01,46.3
1983-04-01,42.5
1983-07-01,41.2
1983-10-01,39.5
1984-01-01,34.5
1984-04-01,29.5
1984-07-01,27.8
1984-10-01,27.0
1985-01-01,25.5
1985-04-01,24.1
1985-07-01,23.8
1985-10-01,23.6
1986-01-01,22.8
1986-04-01,20.4
1986-07-01,19.0
1986-10-01,18.8
1987-01-01,18.4
1987-04-01,17.0
1987-07-01,15.2
1987-10-01,15.1
1988-01-01,15.5
1988-04-01,16.6
1988-07-01,18.4
1988-10-01,19.8
1989-01-01,20.7
1989-04-01,21.8
1989-07-01,23.8
1989-10-01,25.6
1990-01-01,26.3
1990-04-01,26.8
1990-07-01,27.6
1990-10-01,29.3
1991-01-01,31.0
1991-04-01,31.5
1991-07-01,31.8
1991-10-01,32.6
1992-01-01,33.4
1992-04-01,34.1
1992-07-01,35.4
1992-10-01,38.5
1993-01-01,41.4
1993-04-01,42.6
1993-07-01,43.3
1993-10-01,43.7
1994-01-01,42.9
1994-04-01,42.2
1994-07-01,42.1
1994-10-01,43.2
1995-01-01,46.4
1995-04-01,48.4
1995-07-01,49.1
1995-10-01,50.0
1996-01-01,53.1
1996-04-01,57.1
1996-07-01,58.4
1996-10-01,59.0
1997-01-01,60.3
1997-04-01,61.7
1997-07-01,62.1
1997-10-01,62.4
1998-01-01,63.1
1998-04-01,64.5
1998-07-01,65.5
1998-10-01,65.8
1999-01-01,66.3
1999-04-01,67.6
1999-07-01,69.1
1999-10-01,70.1
2000-01-01,71.2
2000-04-01,72.6
2000-07-01,74.0
2000-10-01,74.4
2001-01-01,74.6
2001-04-01,75.1
2001-07-01,76.5
2001-10-01,78.2
2002-01-01,79.0
2002-04-01,79.8
2002-07-01,81.6
2002-10-01,83.8
2003-01-01,84.9
2003-04-01,85.6
2003-07-01,87.2
2003-10-01,90.4
2004-01-01,92.3
2004-04-01,93.2
2004-07-01,94.2
2004-10-01,96.8
2005-01-01,100.1
2005-04-01,101.3
2005-07-01,102.1
2005-10-01,104.5
2006-01-01,109.0
2006-04-01,111.1
2006-07-01,111.6
2006-10-01,113.0
2007-01-01,114.7
2007-04-01,116.5
2007-07-01,120.5
2007-10-01,122.5
2008-01-01,122.6
2008-04-01,123.2
2008-07-01,125.3
2008-10-01,128.5
2009-01-01,131.0
2009-04-01,132.5
2009-07-01,135.5
2009-10-01,139.0
2010-01-01,144.0
2010-04-01,148.0
2010-07-01,151.0
2010-10-01,157.0
2011-01-01,160.5
2011-04-01,164.5
2011-07-01,167.0
2011-10-01,170.0
2012-01-01,172.5
2012-04-01,176.5
2012-07-01,180.5
2012-10-01,184.5
2013-01-01,189.0
2013-04-01,193.5
2013-07-01,198.0
2013-10-01,201.5
2014-01-01,206.5
2014-04-01,211.0
2014-07-01,214.0
2014-10-01,218.0
2015-01-01,222.0
2015-04-01,225.0
2015-07-01,229.0
2015-10-01,233.5
2016-01-01,238.0
2016-04-01,244.5
2016-07-01,249.0
2016-10-01,253.5
2017-01-01,261.0
2017-04-01,267.0
2017-07-01,274.0
2017-10-01,278.5
2018-01-01,285.0
